Type,Name,Basic,1,2,3,4,5,
스태프,아케인셰이드 스태프,353,64,94,129,170,218,1382265
ESP리미터,아케인셰이드 ESP리미터,347,63,92,126,167,214,1262039
매직건틀렛,아케인셰이드 매직 건틀렛,347,63,92,126,167,214,1282017
샤이닝로드,아케인셰이드 샤이닝로드,347,63,92,126,167,214,1212120
완드,아케인셰이드 완드,347,63,92,126,167,214,1372228
핸드캐논,아케인셰이드 시즈건,302,55,80,110,145,186,1532150
데스페라도,아케인셰이드 데스페라도,295,54,78,108,142,182,1232113
창,아케인셰이드 스피어,295,54,78,108,142,182,1432218
두손검,아케인셰이드 투핸드소드,295,54,78,108,142,182,1402259
두손도끼,아케인셰이드 투핸드엑스,295,54,78,108,142,182,1412181
두손둔기,아케인셰이드 투핸드해머,295,54,78,108,142,182,1422189
한손검,아케인셰이드 세이버,283,51,75,103,136,175,1302343
한손도끼,아케인셰이드 엑스,283,51,75,103,136,175,1312203
케인,아케인셰이드 케인,283,51,75,103,136,175,1362140
석궁,아케인셰이드 크로스보우,283,51,75,103,136,175,1462243
한손둔기,아케인셰이드 해머,283,51,75,103,136,175,1322255
단검,아케인셰이드 대거,276,50,73,101,133,170,1332279
듀얼보우건,아케인셰이드 듀얼보우건,276,50,73,101,133,170,1522143
활,아케인셰이드 보우,276,50,73,101,133,170,1452257
에인션트 보우,아케인셰이드 에인션트 보우,276,50,73,101,133,170,1592020
체인,아케인셰이드 체인,276,50,73,101,133,170,1272017
부채,아케인셰이드 초선,276,50,73,101,133,170,1292018
폴암,아케인셰이드 폴암,264,48,70,96,127,163,1442274
소울슈터,아케인셰이드 소울슈터,221,40,59,81,106,136,1222113
에너지소드,아케인셰이드 에너지체인,221,40,59,81,106,136,1242122
건틀렛리볼버,아케인셰이드 엘라하,221,40,59,81,106,136,1582023
너클,아케인셰이드 클로,221,40,59,81,106,136,1482221
건,아케인셰이드 피스톨,216,39,58,79,104,133,1492235
아대,아케인셰이드 가즈,149,27,40,55,72,92,1472265
튜너,아케인셰이드 튜너,295,54,78,108,142,182,1213018
