Type,Name,Basic,1,2,3,4,5,
스태프,파프니르 마나크라운,204,25,36,50,66,84,1382208
ESP리미터,파프니르 ESP리미터,201,25,36,49,65,83,1262016
샤이닝로드,파프니르 마나크래들,201,25,36,49,65,83,1212063
완드,파프니르 마나테이커,201,25,36,49,65,83,1372177
매직건틀렛,파프니르 매직 건틀렛,201,25,36,49,65,83,1282015
핸드캐논,파프니르 러스터캐논,175,21,31,43,56,72,1532098
데스페라도,파프니르 데스브링어,171,21,31,42,55,71,1232057
두손둔기,파프니르 라이트닝어,171,21,31,42,55,71,1422140
두손도끼,파프니르 배틀클리버,171,21,31,42,55,71,1412135
창,파프니르 브류나크,171,21,31,42,55,71,1432167
두손검,파프니르 페니텐시아,171,21,31,42,55,71,1402196
한손둔기,파프니르 골디언해머,164,20,29,40,53,68,1322203
한손검,파프니르 미스틸테인,164,20,29,40,53,68,1302275
석궁,파프니르 윈드윙슈터,164,20,29,40,53,68,1462193
케인,파프니르 클레르시엘,164,20,29,40,53,68,1362090
한손도끼,파프니르 트윈클리버,164,20,29,40,53,68,1312153
단검,파프니르 다마스커스,160,20,29,39,52,66,1332225
듀얼보우건,파프니르 듀얼윈드윙,160,20,29,39,52,66,1522094
에인션트 보우,파프니르 에인션트 보우,160,20,29,39,52,66,1592018
부채,파프니르 용선,160,20,29,39,52,66,1292016
활,파프니르 윈드체이서,160,20,29,39,52,66,1452205
체인,파프니르 체인,160,20,29,39,52,66,1272015
폴암,파프니르 문글레이브,153,19,27,38,49,63,1442223
건틀렛리볼버,파프니르 빅 마운틴,128,16,23,31,41,53,1582016
에너지소드,파프니르 스플릿엣지,128,16,23,31,41,53,1242060
소울슈터,파프니르 엔젤릭슈터,128,16,23,31,41,53,1222058
너클,파프니르 펜리르탈론,128,16,23,31,41,53,1482168
건,파프니르 첼리스카,125,15,22,31,40,52,1492179
아대,파프니르 리스크홀더,86,11,16,21,28,36,1472214
