Type,Name,Basic,1,2,3,4,5,
스태프,제네시스 스태프,406,74,108,148,195,250,1382274
ESP리미터,제네시스 ESP리미터,400,72,106,146,192,246,1262051
매직건틀렛,제네시스 매직 건틀렛,400,72,106,146,192,246,1282040
샤이닝로드,제네시스 샤이닝로드,400,72,106,146,192,246,1212129
완드,제네시스 완드,400,72,106,146,192,246,1372237
핸드캐논,제네시스 시즈건,348,63,92,127,167,215,1532157
데스페라도,제네시스 데스페라도,340,62,90,124,164,210,1232122
창,제네시스 스피어,340,62,90,124,164,210,1432227
두손검,제네시스 투핸드소드,340,62,90,124,164,210,1402268
두손도끼,제네시스 투핸드엑스,340,62,90,124,164,210,1412189
두손둔기,제네시스 투핸드해머,340,62,90,124,164,210,1422197
한손검,제네시스 세이버,326,59,87,119,157,201,1302355
한손도끼,제네시스 엑스,326,59,87,119,157,201,1312213
케인,제네시스 케인,326,59,87,119,157,201,1362149
석궁,제네시스 크로스보우,326,59,87,119,157,201,1462252
한손둔기,제네시스 해머,326,59,87,119,157,201,1322264
단검,제네시스 대거,318,58,84,116,153,196,1332289
듀얼보우건,제네시스 듀얼보우건,318,58,84,116,153,196,1522152
활,제네시스 보우,318,58,84,116,153,196,1452266
에인션트 보우,제네시스 에인션트 보우,318,58,84,116,153,196,1592022
부채,제네시스 창세선,318,58,84,116,153,196,1292022
체인,제네시스 체인,318,58,84,116,153,196,1272040
폴암,제네시스 폴암,304,55,81,111,146,187,1442285
소울슈터,제네시스 소울슈터,255,46,68,93,123,157,1222122
에너지소드,제네시스 에너지체인,255,46,68,93,123,157,1242141
건틀렛리볼버,제네시스 엘라하,255,46,68,93,123,157,1582044
너클,제네시스 클로,255,46,68,93,123,157,1482232
건,제네시스 피스톨,249,45,66,91,120,154,1492245
아대,제네시스 가즈,172,31,46,63,83,106,1472275
튜너,제네시스 튜너,340,62,90,124,164,210,1213022
