Type,Name,Basic,1,2,3,4,5,
스태프,네크로 로드,135,17,24,33,44,56,1382159
ESP리미터,네크로 ESP리미터,133,16,24,33,43,55,1262013
매직건틀렛,네크로 매직 건틀렛,133,16,24,33,43,55,1282010
샤이닝로드,네크로 샤이닝로드,133,16,24,33,43,55,1212035
완드,네크로 완드,133,16,24,33,43,55,1372132
두손도끼,네크로 기간틱,112,14,20,28,36,46,1412100
두손둔기,네크로 모울,112,14,20,28,36,46,1422103
창,네크로 스피어,112,14,20,28,36,46,1432133
핸드캐논,네크로 이그니스,112,14,20,28,36,46,1532071
폴암,네크로 폴암,112,14,20,28,36,46,1442171
데스페라도,네크로 그림시커,110,14,20,27,36,46,1232035
두손검,네크로 투핸더,110,14,20,27,36,46,1402143
케인,네크로 제스터,108,13,20,27,35,45,1362061
석궁,네크로 크로스보우,108,13,20,27,35,45,1462153
한손검,네크로 피어,108,13,20,27,35,45,1302213
한손둔기,네크로 해머,108,13,20,27,35,45,1322151
한손도끼,네크로 헤드,108,13,20,27,35,45,1312112
듀얼보우건,네크로 듀얼보우건,105,13,19,26,34,44,1522067
활,네크로 롱보우,105,13,19,26,34,44,1452163
에인션트 보우,네크로 에인션트 보우,105,13,19,26,34,44,1592011
부채,네크로 영선,105,13,19,26,34,44,1292011
체인,네크로 체인,105,13,19,26,34,44,1272010
단검,네크로 슬레이어,103,13,19,25,33,43,1332187
건틀렛리볼버,네크로 기가스,82,10,15,20,27,34,1582013
에너지소드,네크로 샤프트헤드,82,10,15,20,27,34,1242131
너클,네크로 울프,82,10,15,20,27,34,1482136
건,네크로 이글,82,10,15,20,27,34,1492136
소울슈터,네크로 퍼플드래곤,82,10,15,20,27,34,1222035
아대,네크로 블러디미스트,54,7,10,14,18,23,1472175
튜너,네크로 트러스트,110,14,20,27,36,46,1213011
