Type,Name,Basic,1,2,3,4,5,
스태프,로얄 반 레온 스태프,146,18,26,36,47,60,1382246
ESP리미터,로얄 반 레온 ESP리미터,144,18,26,35,47,60,1262014
샤이닝로드,로얄 반 레온 글로리어,144,18,26,35,47,60,1212102
매직건틀렛,로얄 반 레온 매직 건틀렛,144,18,26,35,47,60,1282012
완드,로얄 반 레온 완드,144,18,26,35,47,60,1372208
핸드캐논,로얄 반 레온 시즈건,123,15,22,30,40,51,1532131
데스페라도,로얄 반 레온 블러드퓨리,120,15,22,30,39,50,1232096
두손검,로얄 반 레온 스워드,120,15,22,30,39,50,1402237
창,로얄 반 레온 스피어,120,15,22,30,39,50,1432201
두손도끼,로얄 반 레온 투핸드엑스,120,15,22,30,39,50,1412179
두손둔기,로얄 반 레온 투핸드해머,120,15,22,30,39,50,1422186
폴암,로얄 반 레온 핼버드,120,15,22,30,39,50,1442255
한손검,로얄 반 레온 세이버,116,14,21,29,38,48,1302316
한손도끼,로얄 반 레온 엑스,116,14,21,29,38,48,1312186
케인,로얄 반 레온 케인,116,14,21,29,38,48,1362122
석궁,로얄 반 레온 크로스보우,116,14,21,29,38,48,1462226
한손둔기,로얄 반 레온 해머,116,14,21,29,38,48,1322237
단검,로얄 반 레온 대거,114,14,21,28,37,47,1332261
체인,로얄 반 레온 체인,114,14,21,28,37,47,1272012
부채,로얄 반 레온 호선,114,14,21,28,37,47,1292013
듀얼보우건,로얄 반 레온 듀얼보우건,112,14,20,28,36,46,1522125
활,로얄 반 레온 보우,112,14,20,28,36,46,1452239
에인션트 보우,로얄 반 레온 에인션트 보우,112,14,20,28,36,46,1592013
에너지소드,로얄 반 레온 에너지체인,90,11,16,22,29,37,1242103
건틀렛리볼버,로얄 반 레온 이미르,90,11,16,22,29,37,1582014
너클,로얄 반 레온 클로,90,11,16,22,29,37,1482203
건,로얄 반 레온 피스톨,90,11,16,22,29,37,1492213
소울슈터,로얄 반 레온 화이트웜,90,11,16,22,29,37,1222096
아대,로얄 반 레온 가즈,59,8,11,15,19,25,1472248
튜너,로얄 반 레온 로열티,120,15,22,30,39,50,1213013
