Type,Name,Basic,1,2,3,4,5,6,7,
스태프,우트가르드 스태프,155,7,14,23,34,46,55,64,1382245
완드,우트가르드 완드,153,7,14,23,33,45,54,63,1372207
샤이닝로드,우트가르드 샤이닝로드,153,7,14,23,33,45,54,63,1212101
매직건틀렛,우트가르드 매직 건틀렛,153,7,14,23,33,45,54,63,1282013
ESP리미터,우트가르드 ESP리미터,153,7,14,23,33,45,54,63,1262011
창,우트가르드 스피어,124,5,12,19,27,37,44,51,1432200
두손둔기,우트가르드 투핸드해머,124,5,12,19,27,37,44,51,1422171
두손도끼,우트가르드 투핸드엑스,124,5,12,19,27,37,44,51,1412164
핸드캐논,우트가르드 시즈건,122,5,11,18,27,36,43,51,1532130
폴암,우트가르드 핼버드,122,5,11,18,26,36,43,51,1442254
두손검,우트가르드 투핸드소드,122,5,11,18,27,36,43,51,1402236
데스페라도,우트가르드 데스페라도,122,5,11,18,27,36,43,51,1232095
한손둔기,우트가르드 해머,118,5,11,18,26,35,42,49,1322236
한손도끼,우트가르드 엑스,118,5,11,18,26,35,42,49,1312185
한손검,우트가르드 세이버,118,5,11,18,26,35,42,49,1302315
케인,우트가르드 케인,118,5,11,18,26,35,42,49,1362121
석궁,우트가르드 크로스보우,118,5,11,18,26,35,42,49,1462225
활,우트가르드 보우,115,5,11,17,25,34,41,48,1452238
체인,우트가르드 체인,115,5,11,17,25,34,41,48,1272013
에인션트 보우,우트가르드 에인션트 보우,115,5,11,17,25,34,41,48,1592016
부채,우트가르드 거선,115,5,11,17,25,34,41,48,1292014
듀얼보우건,우트가르드 듀얼보우건,115,5,11,17,25,34,41,48,1522124
단검,우트가르드 대거,115,5,11,17,25,34,41,48,1332260
소울슈터,우트가르드 드래곤소울,92,4,9,14,20,28,33,38,1222095
에너지소드,우트가르드 에너지체인,90,4,8,14,20,27,32,37,1242133
너클,우트가르드 클로,90,4,8,14,20,27,32,37,1482202
건틀렛리볼버,우트가르드 흐림두르스,90,4,8,14,20,27,32,37,1582011
건,우트가르드 피스톨,90,4,8,14,20,27,32,37,1492212
아대,우트가르드 가즈,62,3,6,10,14,19,22,26,1472247
