Type,Name,Basic,1,2,3,4,5,
스태프,자쿰의 포이즈닉 스태프,130,12,18,24,32,40,1382242
ESP리미터,자쿰의 ESP리미터,128,12,17,24,31,40,1262012
매직건틀렛,자쿰의 포이즈닉 매직 건틀렛,128,12,17,24,31,40,1282020
샤이닝로드,자쿰의 포이즈닉 샤이닝로드,128,12,17,24,31,40,1212098
완드,자쿰의 포이즈닉 완드,128,12,17,24,31,40,1372204
두손둔기,자쿰의 포이즈닉 빅해머,109,10,15,20,27,34,1422168
창,자쿰의 포이즈닉 스피어,109,10,15,20,27,34,1432197
두손도끼,자쿰의 포이즈닉 투핸드엑스,109,10,15,20,27,34,1412161
폴암,자쿰의 포이즈닉 폴암,109,10,15,20,27,34,1442251
핸드캐논,자쿰의 포이즈닉 핸드캐논,109,10,15,20,27,34,1532127
데스페라도,자쿰의 포이즈닉 데스페라도,107,10,15,20,26,33,1232092
두손검,자쿰의 포이즈닉 투핸드소드,107,10,15,20,26,33,1402233
한손검,자쿰의 포이즈닉 소드,105,10,14,20,26,33,1302312
한손도끼,자쿰의 포이즈닉 엑스,105,10,14,20,26,33,1312182
케인,자쿰의 포이즈닉 케인,105,10,14,20,26,33,1362118
석궁,자쿰의 포이즈닉 크로스보우,105,10,14,20,26,33,1462222
한손둔기,자쿰의 포이즈닉 해머,105,10,14,20,26,33,1322233
부채,자쿰의 독선,102,10,14,19,25,32,1292009
단검,자쿰의 포이즈닉 대거,102,10,14,19,25,32,1332257
듀얼보우건,자쿰의 포이즈닉 듀얼보우건,102,10,14,19,25,32,1522121
활,자쿰의 포이즈닉 보우,102,10,14,19,25,32,1452235
에인션트 보우,자쿰의 포이즈닉 에인션트 보우,102,10,14,19,25,32,1592010
체인,자쿰의 포이즈닉 체인,102,10,14,19,25,32,1272020
건틀렛리볼버,자쿰의 포워르,80,8,11,15,20,25,1582012
건,자쿰의 포이즈닉 건,80,8,11,15,20,25,1492209
너클,자쿰의 포이즈닉 너클,80,8,11,15,20,25,1482199
소울슈터,자쿰의 포이즈닉 소울슈터,80,8,11,15,20,25,1222092
에너지소드,자쿰의 포이즈닉 에너지소드,80,8,11,15,20,25,1242099
아대,자쿰의 포이즈닉 가즈,52,5,7,10,13,16,1472244
