Type,Name,Basic,1,2,3,4,5,
1형,라즐리 / 라피스 1형,100 / 102,4,7,12,17,23,1562001
2형,라즐리 / 라피스 2형,103 / 105,4,7,12,17,23,1562002
3형,라즐리 / 라피스 3형,105 / 107,5,10,16,23,32,1562003
4형,라즐리 / 라피스 4형,112 / 114,5,11,17,25,34,1562004
5형,라즐리 / 라피스 5형,117 / 121,5,11,18,26,36,1562005
6형,라즐리 / 라피스 6형,135 / 139,6,13,21,30,41,1562006
7형,라즐리 / 라피스 7형,169 / 173,9,20,32,47,64,1562007
8형,라즐리 / 라피스 8형,203 / 207,11,23,38,56,76,1562008
9형,라즐리 / 라피스 9형,293 / 297,18,40,65,95,131,1562009
10형,라즐리 / 라피스 10형,337 / 342,21,46,75,110,150,1562010
