아이템명,획득확률,처음,끝
위대한 시그너스의 소울,0.0004817 ,0,0.0004817 
위대한 핑크빈의 소울,0.0038533 ,0.0004817 ,0.0043350 
위대한 모카딘의 소울,0.0019266 ,0.0043350 ,0.0062616 
위대한 아카이럼의 소울,0.0077065 ,0.0062616 ,0.0139681 
페어리 하트,0.0000385 ,0.0139681 ,0.0140066 
카오스 핑크빈 마크,0.0000385 ,0.0140066 ,0.0140451 
도미네이터 펜던트,0.0000963 ,0.0140451 ,0.0141414 
할로캣로이드 교환권,0.0005780 ,0.0141414 ,0.0147194 
코어 젬스톤 10개 교환권,0.0019266 ,0.0147194 ,0.0166460 
데미지 스킨 저장 슬롯 1칸 확장권,0.0004817 ,0.0166460 ,0.0171277 
투명 데미지 스킨,0.0006743 ,0.0171277 ,0.0178020 
마스터 쉐도우 데미지 스킨,0.0003853 ,0.0178020 ,0.0181873 
마카롱이담!,0.0096332 ,0.0181873 ,0.0278205 
달려라 보드 라이딩 (영구) 교환권,0.0009633 ,0.0278205 ,0.0287838 
달려라 보드 라이딩 (90일) 교환권,0.0048166 ,0.0287838 ,0.0336004 
프리미엄 악세서리 공격력 스크롤 100%,0.0001927 ,0.0336004 ,0.0337931 
프리미엄 펫장비 공격력 스크롤 100%,0.0001927 ,0.0337931 ,0.0339858 
프리미엄 펫장비 마력 스크롤 100%,0.0001927 ,0.0339858 ,0.0341785 
프리미엄 악세서리 마력 스크롤 100%,0.0001927 ,0.0341785 ,0.0343712 
영원한 환생의 불꽃,0.0009633 ,0.0343712 ,0.0353345 
티타늄 하트,0.0001927 ,0.0353345 ,0.0355272 
리튬 하트,0.0028900 ,0.0355272 ,0.0384172 
크리스탈 하트,0.0038533 ,0.0384172 ,0.0422705 
골드 하트,0.0057799 ,0.0422705 ,0.0480504 
기운찬 시그너스의 소울,0.0000963 ,0.0480504 ,0.0481467 
날렵한 시그너스의 소울,0.0000963 ,0.0481467 ,0.0482430 
총명한 시그너스의 소울,0.0000963 ,0.0482430 ,0.0483393 
놀라운 시그너스의 소울,0.0000963 ,0.0483393 ,0.0484356 
화려한 시그너스의 소울,0.0000963 ,0.0484356 ,0.0485319 
강력한 시그너스의 소울,0.0000963 ,0.0485319 ,0.0486282 
빛나는 시그너스의 소울,0.0000963 ,0.0486282 ,0.0487245 
강인한 시그너스의 소울,0.0000963 ,0.0487245 ,0.0488208 
영원히 꺼지지 않는 불꽃 조각,0.0048166 ,0.0488208 ,0.0536374 
스페셜 소울 인챈터,0.0048166 ,0.0536374 ,0.0584540 
마력의 하운드 이어링,0.0026973 ,0.0584540 ,0.0611513 
샤이니 레드 매지션 마이스터 심볼,0.0026973 ,0.0611513 ,0.0638486 
샤이니 레드 시프 마이스터 심볼,0.0026973 ,0.0638486 ,0.0665459 
샤이니 레드 워리어 마이스터 심볼,0.0026973 ,0.0665459 ,0.0692432 
베어스 퍼플 펜던트,0.0026973 ,0.0692432 ,0.0719405 
레드 워리어 마이스터 심볼,0.0026973 ,0.0719405 ,0.0746378 
레드 파이렛 마이스터 심볼,0.0026973 ,0.0746378 ,0.0773351 
하프 이어링,0.0026973 ,0.0773351 ,0.0800324 
레드 시프 마이스터 심볼,0.0026973 ,0.0800324 ,0.0827297 
레드 매지션 마이스터 심볼,0.0026973 ,0.0827297 ,0.0854270 
레드 아처 마이스터 심볼,0.0026973 ,0.0854270 ,0.0881243 
피콕스 퍼플 펜던트,0.0026973 ,0.0881243 ,0.0908216 
아울스 퍼플 펜던트,0.0026973 ,0.0908216 ,0.0935189 
울프스 퍼플 펜던트,0.0026973 ,0.0935189 ,0.0962162 
샤이니 레드 아처 마이스터 심볼,0.0026973 ,0.0962162 ,0.0989135 
샤이니 레드 파이렛 마이스터 심볼,0.0026973 ,0.0989135 ,0.1016108 
강인함의 익스트림 벨트,0.0026973 ,0.1016108 ,0.1043081 
지혜의 익스트림 벨트,0.0026973 ,0.1043081 ,0.1070054 
행운의 익스트림 벨트,0.0026973 ,0.1070054 ,0.1097027 
님블 하운드 이어링,0.0026973 ,0.1097027 ,0.1124000 
날카로운 익스트림 벨트,0.0026973 ,0.1124000 ,0.1150973 
체력의 하운드 이어링,0.0026973 ,0.1150973 ,0.1177946 
하이퍼 하운드 이어링,0.0026973 ,0.1177946 ,0.1204919 
펫장비 공격력 스크롤 100%,0.0038533 ,0.1204919 ,0.1243452 
펫장비 마력 스크롤 100%,0.0038533 ,0.1243452 ,0.1281985 
악세서리 공격력 스크롤 100%,0.0038533 ,0.1281985 ,0.1320518 
악세서리 마력 스크롤 100%,0.0038533 ,0.1320518 ,0.1359051 
에픽 잠재능력 부여 주문서 50%,0.0038533 ,0.1359051 ,0.1397584 
에디셔널 잠재능력 부여 주문서 70%,0.0028900 ,0.1397584 ,0.1426484 
황금 망치 100%,0.0057799 ,0.1426484 ,0.1484283 
기운찬 핑크빈의 소울,0.0057799 ,0.1484283 ,0.1542082 
날렵한 핑크빈의 소울,0.0057799 ,0.1542082 ,0.1599881 
총명한 핑크빈의 소울,0.0057799 ,0.1599881 ,0.1657680 
놀라운 핑크빈의 소울,0.0057799 ,0.1657680 ,0.1715479 
화려한 핑크빈의 소울,0.0057799 ,0.1715479 ,0.1773278 
강력한 핑크빈의 소울,0.0057799 ,0.1773278 ,0.1831077 
빛나는 핑크빈의 소울,0.0057799 ,0.1831077 ,0.1888876 
강인한 핑크빈의 소울,0.0057799 ,0.1888876 ,0.1946675 
기운찬 모카딘의 소울,0.0057799 ,0.1946675 ,0.2004474 
날렵한 모카딘의 소울,0.0057799 ,0.2004474 ,0.2062273 
총명한 모카딘의 소울,0.0057799 ,0.2062273 ,0.2120072 
놀라운 모카딘의 소울,0.0057799 ,0.2120072 ,0.2177871 
화려한 모카딘의 소울,0.0057799 ,0.2177871 ,0.2235670 
강력한 모카딘의 소울,0.0057799 ,0.2235670 ,0.2293469 
빛나는 모카딘의 소울,0.0057799 ,0.2293469 ,0.2351268 
강인한 모카딘의 소울,0.0057799 ,0.2351268 ,0.2409067 
기운찬 아카이럼의 소울,0.0057799 ,0.2409067 ,0.2466866 
날렵한 아카이럼의 소울,0.0057799 ,0.2466866 ,0.2524665 
총명한 아카이럼의 소울,0.0057799 ,0.2524665 ,0.2582464 
놀라운 아카이럼의 소울,0.0057799 ,0.2582464 ,0.2640263 
화려한 아카이럼의 소울,0.0057799 ,0.2640263 ,0.2698062 
강력한 아카이럼의 소울,0.0057799 ,0.2698062 ,0.2755861 
빛나는 아카이럼의 소울,0.0057799 ,0.2755861 ,0.2813660 
강인한 아카이럼의 소울,0.0057799 ,0.2813660 ,0.2871459 
소울 분해기,0.0385327 ,0.2871459 ,0.3256786 
소울 20칸 가방,0.0144498 ,0.3256786 ,0.3401284 
식물용 20칸 가방,0.0144498 ,0.3401284 ,0.3545782 
광물용 20칸 가방,0.0144498 ,0.3545782 ,0.3690280 
제작물품 20칸 가방,0.0144498 ,0.3690280 ,0.3834778 
레시피 20칸 가방,0.0144498 ,0.3834778 ,0.3979276 
의자 20칸 가방,0.0144498 ,0.3979276 ,0.4123774 
칭호 20칸 명함 지갑,0.0144498 ,0.4123774 ,0.4268272 
