아이템명,획득확률,처음,끝
[스페셜 라벨] 반짝이는 마음,3.10%,0.0000000 ,0.0310000 
[스페셜 라벨] 꿈의 유랑 (남) / 꿈의 여행 (여),3.20%,0.0310000 ,0.0630000 
[스페셜 라벨] 쏟아지는 햇살,3.00%,0.0630000 ,0.0930000 
[스페셜 라벨] 경쾌한 스텝,3.20%,0.0930000 ,0.1250000 
[스페셜 라벨] 꿈꾸는 여행가,2.50%,0.1250000 ,0.1500000 
포도알 캡,5.00%,0.1500000 ,0.2000000 
포도알 반바지 (남) / 포도알 원피스 (여),3.50%,0.2000000 ,0.2350000 
포도알 구두,5.00%,0.2350000 ,0.2850000 
포도가 좋아,5.00%,0.2850000 ,0.3350000 
포도알의 마법,4.50%,0.3350000 ,0.3800000 
너무해 얼굴,3.50%,0.3800000 ,0.4150000 
치어링 블루,2.00%,0.4150000 ,0.4350000 
아가뽀뽀 보넷,5.00%,0.4350000 ,0.4850000 
아가뽀뽀 우주복,2.00%,0.4850000 ,0.5050000 
아가뽀뽀 장난감,1.50%,0.5050000 ,0.5200000 
아가뽀뽀,3.50%,0.5200000 ,0.5550000 
짝짝이 반바지,5.00%,0.5550000 ,0.6050000 
두근두근 후디,5.00%,0.6050000 ,0.6550000 
개구리 빗방울,5.00%,0.6550000 ,0.7050000 
아임 프리티 테디,5.00%,0.7050000 ,0.7550000 
New 모자 속 토끼,4.50%,0.7550000 ,0.8000000 
[30일] 포도알 말풍선반지 교환권,5.00%,0.8000000 ,0.8500000 
[30일] 포도알 명찰반지 교환권,5.00%,0.8500000 ,0.9000000 
다 내거야 의자,5.00%,0.9000000 ,0.9500000 
스카우터,5.00%,0.9500000 ,1.0000000 
